hole_high,hole_low,suited,pocket_pair,street,num_opponents,hand_class,normalized_strength,win_pct,tie_pct,loss_pct
5,4,0,0,5,8,8,0.2876,0.2,0.6,99.2
9,4,1,0,3,4,9,0.0827,7.6,1.6,90.8
13,10,0,0,0,5,0,0.0,21.8,3.6,74.6
8,4,0,0,0,8,0,0.0,5.0,2.4,92.6
13,6,1,0,3,2,8,0.1924,24.8,5.0,70.2
4,4,0,1,5,7,8,0.2474,0.6,0.0,99.4
9,8,0,0,3,5,9,0.0048,3.0,1.2,95.8
13,6,0,0,4,6,6,0.7686,66.6,7.0,26.4
3,2,1,0,4,2,8,0.1816,22.4,2.4,75.2
13,5,0,0,5,8,8,0.2804,0.0,0.0,100.0
8,8,0,1,4,6,6,0.7249,69.8,0.0,30.2
12,5,0,0,0,2,0,0.0,27.8,3.0,69.2
13,9,0,0,3,2,9,0.1552,49.6,1.0,49.4
14,14,0,1,3,5,6,0.7765,82.4,0.0,17.6
10,7,0,0,4,4,8,0.3239,12.4,2.8,84.8
10,6,1,0,3,6,8,0.4125,19.2,3.2,77.6
7,5,0,0,5,2,5,0.7849,83.4,1.6,15.0
11,10,0,0,5,1,7,0.666,74.6,6.4,19.0
10,9,0,0,4,8,7,0.6482,16.4,3.8,79.8
12,4,1,0,4,8,9,0.0982,19.6,0.2,80.2
6,2,0,0,0,8,0,0.0,4.4,1.0,94.6
10,5,1,0,3,1,9,0.143,24.0,7.8,68.2
10,5,0,0,0,8,0,0.0,4.0,4.0,92.0
13,5,0,0,0,1,0,0.0,50.0,4.4,45.6
13,2,1,0,3,8,9,0.0738,1.8,1.4,96.8
14,8,0,0,0,6,0,0.0,20.0,2.6,77.4
9,8,0,0,3,5,9,0.0068,27.4,2.6,70.0
12,9,1,0,5,4,5,0.7854,78.0,3.4,18.6
12,2,0,0,0,2,0,0.0,26.0,4.8,69.2
7,2,0,0,5,1,8,0.4522,6.4,5.6,88.0
7,4,1,0,5,2,7,0.5734,84.2,0.8,15.0
14,11,1,0,4,5,8,0.3772,4.6,2.0,93.4
6,3,0,0,4,7,7,0.6278,2.4,4.0,93.6
10,7,0,0,5,3,8,0.3381,24.4,0.4,75.2
9,5,0,0,5,4,7,0.6569,19.6,0.6,79.8
9,7,0,0,3,1,9,0.0769,53.6,3.4,43.0
13,10,0,0,5,6,7,0.6467,27.6,1.8,70.6
5,5,0,1,0,4,0,0.0,20.6,0.6,78.8
14,9,1,0,3,5,8,0.1959,12.6,4.2,83.2
12,8,0,0,0,2,0,0.0,34.2,4.2,61.6
5,2,0,0,0,5,0,0.0,9.6,2.4,88.0
5,4,1,0,0,5,0,0.0,15.2,1.8,83.0
10,7,1,0,3,6,9,0.0993,8.2,1.8,90.0
10,5,0,0,5,7,9,0.1327,0.0,0.0,100.0
11,5,0,0,0,6,0,0.0,9.8,2.6,87.6
5,3,0,0,3,3,9,0.0615,32.4,2.2,65.4
10,9,0,0,4,4,7,0.6482,37.6,6.0,56.4
14,10,0,0,3,7,9,0.1328,8.4,7.6,84.0
9,3,0,0,5,1,8,0.2298,45.8,3.8,50.4
11,3,0,0,0,1,0,0.0,39.6,3.6,56.8
12,8,1,0,5,2,4,0.8274,98.4,0.0,1.6
9,8,0,0,5,6,9,0.0852,0.0,0.0,100.0
7,2,0,0,4,2,8,0.1906,21.8,1.4,76.8
5,5,0,1,5,7,6,0.7018,42.0,0.0,58.0
13,5,0,0,0,8,0,0.0,6.6,1.4,92.0
4,3,1,0,3,7,8,0.4369,2.8,0.8,96.4
3,2,1,0,4,4,9,0.008,12.2,2.2,85.6
11,5,0,0,0,8,0,0.0,6.8,2.8,90.4
4,2,0,0,3,8,8,0.4232,0.0,0.8,99.2
10,3,1,0,5,2,6,0.7435,77.8,2.8,19.4
11,5,0,0,4,2,9,0.145,15.4,2.6,82.0
14,9,0,0,3,7,9,0.1138,7.2,3.6,89.2
9,4,0,0,4,1,7,0.5897,82.0,0.0,18.0
12,9,0,0,3,7,9,0.1388,5.8,0.6,93.6
4,3,1,0,4,8,7,0.5587,9.8,0.4,89.8
12,11,1,0,4,3,7,0.6678,29.8,15.2,55.0
13,3,0,0,3,3,8,0.3349,11.8,4.6,83.6
11,5,1,0,5,3,8,0.2687,9.0,0.2,90.8
2,2,0,1,4,5,8,0.1978,4.4,0.0,95.6
14,8,1,0,4,8,8,0.5495,25.2,4.2,70.6
14,14,0,1,3,8,7,0.6571,37.0,0.0,63.0
8,2,0,0,0,7,0,0.0,4.8,2.4,92.8
13,8,0,0,0,8,0,0.0,8.6,2.4,89.0
8,5,1,0,0,7,0,0.0,11.4,3.2,85.4
9,2,0,0,5,2,8,0.4027,33.6,0.6,65.8
12,2,0,0,0,7,0,0.0,6.4,2.4,91.2
13,11,0,0,5,8,8,0.5248,6.6,0.6,92.8
10,3,0,0,4,3,8,0.2657,4.4,0.4,95.2
12,4,0,0,4,2,8,0.4488,12.6,2.6,84.8
13,3,0,0,0,4,0,0.0,15.2,2.6,82.2
13,11,0,0,0,6,0,0.0,18.8,2.2,79.0
12,5,0,0,4,6,9,0.0992,0.0,0.2,99.8
11,11,0,1,5,6,3,0.9692,62.6,0.6,36.8
14,5,1,0,4,6,7,0.6674,18.2,10.2,71.6
5,4,0,0,5,7,7,0.5951,0.0,0.0,100.0
11,11,0,1,3,5,7,0.6489,45.0,0.2,54.8
12,8,0,0,0,8,0,0.0,8.8,3.6,87.6
14,10,0,0,5,2,7,0.6014,73.0,1.4,25.6
7,5,0,0,4,4,8,0.3668,9.6,1.4,89.0
4,2,0,0,4,6,9,0.1569,6.4,0.8,92.8
7,3,0,0,0,4,0,0.0,9.0,3.0,88.0
12,2,0,0,3,7,9,0.0472,3.0,0.6,96.4
13,7,0,0,5,8,9,0.1623,0.0,0.0,100.0
11,7,1,0,4,7,9,0.0202,4.0,4.2,91.8
13,5,0,0,4,1,6,0.7046,90.2,1.0,8.8
13,6,0,0,0,3,0,0.0,25.0,3.8,71.2
8,3,1,0,0,4,0,0.0,17.0,2.2,80.8
10,9,1,0,4,3,9,0.1601,3.8,0.0,96.2
11,7,1,0,0,5,0,0.0,20.0,2.8,77.2
4,4,0,1,5,5,5,0.7845,64.2,32.6,3.2
7,7,0,1,3,7,8,0.3242,13.4,0.6,86.0
13,4,1,0,4,6,8,0.4256,1.4,1.6,97.0
11,3,1,0,0,3,0,0.0,23.4,3.0,73.6
11,3,0,0,5,3,8,0.4275,0.0,0.2,99.8
6,4,0,0,0,5,0,0.0,8.6,1.8,89.6
13,8,0,0,5,7,8,0.3688,2.8,0.0,97.2
3,2,1,0,4,4,9,0.046,0.0,0.0,100.0
11,6,0,0,4,2,9,0.0245,7.0,0.4,92.6
12,4,0,0,0,5,0,0.0,13.6,2.8,83.6
11,11,0,1,3,5,8,0.4631,22.6,2.2,75.2
3,2,1,0,5,8,8,0.3419,0.0,0.0,100.0
9,6,0,0,0,5,0,0.0,10.8,3.0,86.2
12,6,1,0,3,5,9,0.0555,2.0,1.4,96.6
8,7,0,0,0,6,0,0.0,11.4,2.0,86.6
11,4,0,0,4,6,9,0.0293,1.2,0.2,98.6
14,4,0,0,0,3,0,0.0,26.4,4.2,69.4
9,8,0,0,5,6,7,0.6628,31.2,1.6,67.2
13,7,1,0,4,8,9,0.1707,3.2,7.6,89.2
11,9,0,0,3,1,8,0.4412,79.0,1.2,19.8
8,4,0,0,0,5,0,0.0,10.2,1.8,88.0
12,4,0,0,4,3,9,0.1384,10.6,4.2,85.2
13,4,0,0,3,1,9,0.1545,44.2,4.6,51.2
8,2,0,0,4,3,9,0.1173,6.8,3.8,89.4
12,8,0,0,5,3,6,0.766,85.0,1.6,13.4
9,4,0,0,4,7,7,0.5891,48.0,1.0,51.0
12,5,1,0,0,1,0,0.0,47.0,5.0,48.0
9,8,0,0,4,2,8,0.3961,50.2,1.6,48.2
3,2,0,0,3,8,9,0.0499,3.0,0.2,96.8
6,2,0,0,0,3,0,0.0,13.6,2.2,84.2
10,8,0,0,4,3,9,0.1427,3.2,0.2,96.6
14,9,0,0,5,2,8,0.5468,75.6,1.8,22.6
12,7,0,0,3,4,9,0.0371,13.0,1.6,85.4
7,4,0,0,4,8,8,0.2324,7.8,0.4,91.8
11,3,0,0,3,8,9,0.1626,2.0,1.4,96.6
4,2,0,0,5,2,7,0.5654,0.0,2.4,97.6
14,6,0,0,3,3,8,0.3145,28.8,1.0,70.2
12,9,0,0,4,2,8,0.515,32.2,1.6,66.2
13,11,0,0,3,5,9,0.0887,17.2,1.8,81.0
14,13,0,0,5,1,8,0.23,52.6,0.8,46.6
9,7,0,0,3,4,9,0.0059,11.4,0.2,88.4
12,5,0,0,4,2,9,0.1467,11.6,1.8,86.6
6,3,0,0,5,5,8,0.3771,0.0,0.0,100.0
9,6,0,0,0,6,0,0.0,8.0,3.0,89.0
10,5,1,0,0,6,0,0.0,12.4,2.2,85.4
4,4,0,1,3,4,8,0.2309,16.8,4.0,79.2
12,10,0,0,5,3,7,0.6221,26.8,9.2,64.0
10,9,0,0,5,1,7,0.663,81.4,0.2,18.4
12,2,0,0,5,3,8,0.36,0.2,0.0,99.8
7,4,0,0,5,8,7,0.5716,1.4,1.2,97.4
10,2,0,0,4,8,8,0.4475,1.8,4.4,93.8
9,6,0,0,5,7,5,0.7845,28.8,63.6,7.6
5,2,1,0,3,3,8,0.4295,5.0,8.0,87.0
12,7,0,0,0,7,0,0.0,11.6,2.4,86.0
10,3,0,0,3,2,7,0.5982,71.4,2.4,26.2
10,9,1,0,5,5,8,0.4267,21.0,1.6,77.4
13,11,1,0,3,5,4,0.8877,84.4,0.0,15.6
12,5,0,0,3,6,9,0.0454,3.4,1.6,95.0
14,2,1,0,3,8,8,0.4304,4.8,3.4,91.8
13,5,1,0,5,8,6,0.7724,50.8,14.0,35.2
14,14,0,1,4,7,7,0.6542,42.0,0.2,57.8
9,8,0,0,0,4,0,0.0,15.2,3.0,81.8
7,5,0,0,4,2,9,0.1639,1.8,5.0,93.2
12,2,0,0,5,7,8,0.1927,0.0,0.0,100.0
9,5,0,0,0,2,0,0.0,25.2,3.6,71.2
9,5,0,0,4,3,8,0.2745,12.2,3.8,84.0
5,2,0,0,3,6,9,0.0893,2.4,0.2,97.4
11,9,0,0,3,6,8,0.3874,18.8,3.0,78.2
9,8,0,0,3,4,9,0.0048,6.6,1.6,91.8
13,12,0,0,4,3,7,0.6678,66.0,4.6,29.4
11,9,0,0,3,7,8,0.2107,5.6,1.0,93.4
13,8,1,0,4,6,8,0.3771,15.6,1.0,83.4
8,4,0,0,0,5,0,0.0,8.4,1.4,90.2
11,5,0,0,5,1,8,0.4495,75.2,0.8,24.0
10,9,0,0,0,4,0,0.0,19.4,2.0,78.6
4,2,0,0,4,4,9,0.0669,5.6,0.2,94.2
13,4,0,0,4,4,8,0.2514,16.4,0.6,83.0
10,3,0,0,3,8,9,0.0306,2.4,4.6,93.0
4,3,1,0,0,4,0,0.0,13.8,3.4,82.8
10,6,0,0,0,1,0,0.0,45.2,3.0,51.8
10,7,1,0,5,4,8,0.2509,0.2,0.0,99.8
11,5,1,0,0,1,0,0.0,43.6,4.2,52.2
7,3,0,0,0,3,0,0.0,14.2,2.8,83.0
12,6,0,0,4,2,8,0.4953,19.6,8.6,71.8
4,4,0,1,5,2,7,0.6027,0.0,14.0,86.0
11,8,0,0,4,6,9,0.0252,10.8,1.0,88.2
13,11,1,0,5,2,8,0.4658,42.8,0.8,56.4
12,7,0,0,3,4,9,0.0395,7.0,2.4,90.6
